municipio,anio,flag
celestun,2011,prog_rowcount_jump_4_to_7
chichimila,2013,prog_rowcount_jump_9_to_5
chichimila,2022,prog_rowcount_jump_5_to_8
homun,2020,prog_rowcount_jump_7_to_4
huhi,2025,prog_rowcount_jump_7_to_25
kanasin,2017,prog_rowcount_jump_4_to_7
kantunil,2011,millar_rowcount_jump_7_to_2
merida,2014,prog_rowcount_jump_10_to_16
merida,2022,prog_rowcount_jump_16_to_21
mococha,2011,millar_rowcount_jump_1_to_6
opichen,2021,prog_rowcount_jump_4_to_7
progreso,2023,prog_rowcount_jump_4_to_10
tahmek,2020,prog_rowcount_jump_15_to_4
tahmek,2021,prog_rowcount_jump_4_to_7
ticul,2011,prog_rowcount_jump_11_to_7
ticul,2013,prog_rowcount_jump_7_to_4
ticul,2018,prog_rowcount_jump_4_to_19
ticul,2020,prog_rowcount_jump_19_to_11
ticul,2022,prog_rowcount_jump_11_to_6
timucuy,2023,prog_rowcount_jump_7_to_12
timucuy,2024,prog_rowcount_jump_12_to_25
tinum,2017,prog_rowcount_jump_7_to_14
tixcacalcupul,2021,prog_rowcount_jump_7_to_11
tixcacalcupul,2022,prog_rowcount_jump_11_to_7
tixpeual,2012,prog_rowcount_jump_13_to_6
ucu,2016,millar_rowcount_jump_7_to_2
chicxulub_pueblo,2017,prog_rowcount_jump_7_to_10
tizimin,2015,prog_rowcount_jump_7_to_10
tizimin,2022,prog_rowcount_jump_10_to_15
